sample	type	UpInMDS_StrictCutoff
BA3154R	n	-0.0511830223135086
BA3162R	n	0.08353758914718494
BA3352R	n	-0.09168165431781063
BA3084R	n	-0.23560510995902495
BA3149R	n	0.20548218522774062
BA3169R	n	0.15100428757449455
BA3180R	n	-0.19124887745415964
BA3255R	n	-0.011409257458836626
BA3438R	n	-0.1784508352413135
BA3345R	y	0.31817982412890566
BA3431R	n	0.0976177934807847
BA3181R	n	0.45189648463244514
BA3341R	n	0.13715522407335975
BA3191R	n	0.15043121210441437
BA3197R	n	-0.3009878622158343
BA3448R	n	-0.2904027855354
BA3453R	n	0.005306207727260199
BA3406R	n	-0.030946348951671584
BA3308R	n	0.023908514477075843
BA3186R	n	0.04795641244537195
BA3334R	n	0.20595268857248802
BA3447R	n	-0.13408917851832067
BA3116R	n	0.20637653244967116
BA3280R	n	-0.12379029665001547
BA3185R	n	-0.19432227315582593
BA3094R	n	-0.29098792146865354
BA3318R	n	-0.20363341708058622
BA3216R	n	0.01176930644189278
BA3332R	n	0.21938530973548226
BA3214R	n	-0.09782192778943546
BA3141R	n	-0.10077138210959387
BA3373R	y	-0.0020378151406218767
BA3319R	n	0.184522476613483
BA3328R	n	0.06369622739086744
BA3240R	n	-0.19145847181100306
BA3142R	n	0.02526905451579243
BA3339R	n	0.2629463977573654
BA3333R	y	-0.14660348488066524
BA3381R	n	0.47597772939553146
BA3290R	n	0.44241266005176627
BA3207R	n	0.05449448803127504
BA3305R	n	0.21181705743432977
BA3434R	y	0.36747199139899706
BA3189R	n	0.036714762043990955
BA3264R	n	-0.21073883209051675
BA3329R	y	0.08647743995717025
BA3417R	n	0.20076892053487774
BA3367R	n	0.3010355739209653
BA3225R	n	-0.056768638750934235
BA3183R	n	0.052122084731920176
BA3397R	n	0.09844312990525755
BA3311R	y	0.2436430375859252
BA3175R	n	0.1757248592642719
BA3422R	n	-0.353349601954433
BA3228R	n	0.13917929494449074
BA3213R	n	0.09603132019597609
BA3415R	n	0.22435685531471578
BA3270R	n	0.3190863613336212
BA3324R	n	0.23196802532505642
BA3194R	n	-0.19988790690751973
BA3335R	n	0.052972636569127006
BA3199R	n	0.06579167383703365
BA3326R	n	0.22867392587878174
BA3297R	n	0.018876788179457933
BA3227R	n	-0.2891730611749474
BA3394R	n	0.2638320978271096
BA3412R	n	-0.1148082957894373
BA3293R	n	-0.0454639255026633
BA3250R	n	-0.06173780700716088
BA3177R	n	-0.16842523152953376
BA3315R	n	0.24178833198362382
BA3182R	n	0.018744800919613884
BA3260R	y	0.4036338775236469
BA3369R	n	-0.09557034326182004
BA3078R	n	-0.26448003454477415
BA3386R	n	-0.22630263422468225
BA3445R	n	-0.08434730420443513
BA3176R	n	0.23211355628897046
BA3258R	n	0.08374691568244438
BA3446R	n	0.10380132041032572
BA3295R	n	0.3103717478420427
BA3283R	n	-0.07830447009770723
BA3390R	n	0.1358406039693084
BA3275R	n	-0.07867632599199026
BA3136R	n	-0.1688146793521572
BA3190R	n	0.294092798815381
BA3234R	n	0.1299838512458733
BA3087R	n	-0.18176277397506654
BA3454R	n	-0.056032835537246806
BA3302R	n	0.07182359855569001
BA3242R	n	0.3981648584786521
BA3117R	n	0.17541993488647478
BA3083R	n	0.10068032175316097
BA3266R	n	0.1308649155446739
BA3268R	n	0.05139179464752501
BA3229R	n	0.37322398095459264
BA3138R	n	0.3798510893207121
BA3388R	n	0.39600363808491607
BA3353R	n	2.6518521583287303e-4
BA3312R	n	0.19012166507993317
BA3119R	n	-0.13633007941272274
BA3219R	n	-0.11233833906069556
BA3351R	n	0.026334477268982942
BA3357R	n	0.09001335079989047
BA3208R	n	-0.16048328987239996
BA3310R	n	0.032335027610891576
BA3200R	n	-0.26853597833029913
BA3325R	n	0.09748465436428655
BA3146R	n	-0.10019816483514889
BA3211R	y	-0.044704153201477324
BA3237R	n	0.36623761614021993
BA3130R	n	0.2166792601711553
BA3376R	n	-0.15001920884296535
BA3137R	n	0.12939561573867414
BA3300R	n	-0.04954277851762357
BA3375R	n	-0.10322816112472506
BA3249R	n	-0.3493706464167232
BA3385R	n	0.14656132911167558
BA3416R	n	-0.1253621411561617
BA3123R	n	0.09486125680638852
