Promono-like	RNVU1-6
Monocyte-like	FCN1
Monocyte-like	S100A12
Monocyte-like	MAFB
Monocyte-like	VCAN
Monocyte-like	S100A9
Monocyte-like	PLBD1
Monocyte-like	SERPINA1
Monocyte-like	BCL2A1
Monocyte-like	THBS1
Monocyte-like	PSAP
Monocyte-like	S100A8
Monocyte-like	FPR1
Monocyte-like	C5AR1
Monocyte-like	CD14
Monocyte-like	NAMPT
Monocyte-like	VNN2
Monocyte-like	CTSS
Monocyte-like	DUSP1
Monocyte-like	CEBPB
Monocyte-like	CR1
Monocyte-like	NFKBIA
Monocyte-like	SLC11A1
Monocyte-like	LILRB3
Monocyte-like	BCL6
Monocyte-like	CYP1B1
Monocyte-like	TNFAIP2
Monocyte-like	MS4A10
Monocyte-like	AQP9
Monocyte-like	TLR4
Monocyte-like	APOBEC3A
cDC-like	MRC1
cDC-like	HLA-DRB5
cDC-like	CST3
cDC-like	SAMHD1
cDC-like	NAPSB
cDC-like	FCER1A
cDC-like	HLA-DRB1
cDC-like	JAML
cDC-like	PKIB
cDC-like	HLA-DRA
cDC-like	HLA-DRB6
cDC-like	CPVL
cDC-like	HLA-DPB1
cDC-like	HLA-DQA1
cDC-like	HLA-DPA1
cDC-like	CLEC4A
cDC-like	TMSB10
cDC-like	CAP1
cDC-like	HLA-DQB1
cDC-like	CRIP1
cDC-like	CLEC10A
cDC-like	GPX1
cDC-like	ITGB7
cDC-like	HLA-DQB2
cDC-like	DBI
cDC-like	FTH1P3
cDC-like	ACTB
cDC-like	HLA-DQA2
cDC-like	S100B
cDC-like	ALDH2
